name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York City,USA",2023-01-10,5,3.5,4.3,5,0.2,2.3,-4,54.7,0,0,0,,0,0,31.3,13.4,301.2,1016.8,87.8,15.8,134,11.8,1,10,2023-01-10T07:19:42,2023-01-10T16:47:40,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732,F7617"
"New York City,USA",2023-01-11,4,1.7,3,3.1,-2.8,0,-5.3,54.7,0,0,0,,0,0,29.5,18.1,62.7,1023.5,83.7,16,159.5,13.8,3,10,2023-01-11T07:19:28,2023-01-11T16:48:44,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,E5816,F8726,D2180,KNYC,F1417,72503014732"
"New York City,USA",2023-01-12,12.2,2.7,7,12.2,-0.5,5.5,4,81.6,4.855,100,33.33,rain,0,0,55.4,21.5,94.7,1017.8,100,13.6,136.3,11.9,1,10,2023-01-12T07:19:11,2023-01-12T16:49:48,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,0826W,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2023-01-13,13.2,3.9,9.4,13.2,-0.3,8,5.2,75.8,4.105,100,16.67,rain,0,0,59.4,23.5,275.4,1002.5,88.3,14.8,147.5,12.4,2,10,2023-01-13T07:18:52,2023-01-13T16:50:53,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2023-01-14,3.4,0,1.2,-0.6,-6,-3.7,-5.1,62.9,0,0,0,"rain,snow",0,0,66.6,29.5,359.8,1009.8,99.8,14.8,160.2,14.1,2,10,2023-01-14T07:18:31,2023-01-14T16:51:59,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2023-01-15,4.8,-1.2,1.2,1.3,-7.2,-3.8,-8.2,50.9,0,0,0,"rain,snow",0,0,68.4,35.3,353.7,1015.6,42.4,16,219.3,19.2,5,10,2023-01-15T07:18:07,2023-01-15T16:53:06,0.79,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732,F7617"
"New York City,USA",2023-01-16,8.7,-1.4,2.6,6.6,-7.5,-1.3,-11.8,35.2,0,0,0,"rain,snow",0,0,47.9,27.7,321.2,1012.1,30.9,16,222.2,19.6,5,10,2023-01-16T07:17:42,2023-01-16T16:54:13,0.83,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KLGA,E5816,F8726,D2180,KNYC,F1417,72503014732"
"New York City,USA",2023-01-17,8.3,2.2,5.6,8.3,-1.1,4.3,-9.5,33.3,0,0,0,"rain,snow",0,0,25.9,15,269.5,1006.2,64.4,16,159.6,14,3,10,2023-01-17T07:17:14,2023-01-17T16:55:22,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2023-01-18,11,6.6,8.8,11,4.1,7,0.9,58.5,1.22,100,8.33,rain,0,0,48.4,30.6,283.2,1008.9,58.8,15.8,188.6,16.3,4,10,2023-01-18T07:16:44,2023-01-18T16:56:31,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KLGA,E5816,F8726,D2180,KNYC,F1417,72503014732"
"New York City,USA",2023-01-19,7.2,4.4,5.5,6.7,1.3,3.6,1.8,78.5,20.571,100,62.5,rain,0,0,33.5,15,36,1012.6,74.3,10.6,121.4,10.6,0,10,2023-01-19T07:16:12,2023-01-19T16:57:41,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KLGA,E5816,F8726,D2180,KNYC,F1417,72503014732"
