name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"New York City,USA",2022-12-01T00:00:00,5.2,0.8,-5.6,45.55,0,0,,0,0,42.9,24.8,277,1012.3,7.2,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-01T01:00:00,4.5,-0.2,-5.8,47.16,0,0,,0,0,40.8,26.4,280,1013.2,97,16,0,,0,10,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-01T02:00:00,3.6,-0.8,-6.6,47.03,0,0,,0,0,36.3,21.3,283,1014.2,7.2,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-01T03:00:00,3.1,-1,-7.3,46.27,0,0,,0,0,34.5,18.2,283,1015.4,7.2,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-01T04:00:00,3,-1.3,-8.3,43.33,0,0,,0,0,37.8,18.7,273,1016.4,7.2,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-01T05:00:00,3,-1.1,-8.3,43.33,0,0,,0,0,38.8,17.6,280,1017.7,0,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-01T06:00:00,3,-2.9,-8.4,42.83,0,0,,0,0,44.3,33.5,270,1019.1,0,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-01T07:00:00,2.5,-0.6,-8.6,43.82,0,0,,0,0,39.2,11.5,280,1020.3,7.2,16,11,0,0,10,Clear,clear-night,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-01T08:00:00,3,-0.1,-8.2,43.61,0,0,,0,0,35.3,11.5,260,1021.4,72.3,16,53,0.2,1,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-01T09:00:00,3.4,1.7,-7.6,44.53,0,0,,0,0,38.9,6.5,322,1022.4,97,16,148,0.5,1,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-01T10:00:00,4.2,0.7,-7.6,41.9,0,0,,0,0,46.8,15.5,267,1023.5,97,16,158,0.6,2,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-01T11:00:00,5,0.6,-8.3,37.64,0,0,,0,0,35.3,24.1,290,1024.2,97,16,527,1.9,5,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-01T12:00:00,4.5,-0.3,-8.3,38.89,0,0,,0,0,45.6,27.6,305,1024.1,88.8,16,105,0.4,1,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-01T13:00:00,5.2,-0.5,-7.8,38.65,0,0,,0,0,53.6,40.7,290,1024.6,86.6,16,139,0.5,1,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-01T14:00:00,5.8,1.7,-7.8,37.03,0,0,,0,0,39.2,23.5,299,1024.9,13.4,16,322,1.2,3,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-01T15:00:00,5.8,1.9,-7.8,37.03,0,0,,0,0,35.5,21.7,290,1025.7,7.2,16,167,0.6,2,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-01T16:00:00,5.9,2.2,-7.6,37.14,0,0,,0,0,46.3,20.4,283,1026.9,7.2,16,14,0.1,0,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-01T17:00:00,5.3,1.5,-7.5,39.21,0,0,,0,0,51.8,19.8,278,1028.1,7.2,16,8,0,0,10,Clear,clear-night,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-01T18:00:00,5.2,2,-7.8,38.65,0,0,,0,0,44.6,14.8,300,1029.2,0,16,21,0.1,0,10,Clear,clear-night,"72505394728,E5816,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-01T19:00:00,4.5,1,-7.6,40.97,0,0,,0,0,38.9,16.4,285,1030.1,0,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-01T20:00:00,4,0.8,-7.6,42.54,0,0,,0,0,34.6,13.3,310,1030.1,0,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-01T21:00:00,3.5,-1.1,-7,46.16,0,0,,0,0,27,22.3,300,1030.7,0,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-01T22:00:00,2.5,-0.4,-7.1,48.94,0,0,,0,0,19.4,10.4,285,1030.9,0,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-01T23:00:00,2.4,-0.4,-7.1,49.4,0,0,,0,0,20.9,9.9,300,1031.3,7.2,12.3,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-02T00:00:00,1.8,-2.1,-7.1,51.33,0,0,,0,0,35.3,14.6,290,1032.2,0,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-02T01:00:00,1.3,-2.1,-7.3,52.67,0,0,,0,0,21.2,11.6,275,1031.9,0,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-02T02:00:00,0.9,-1.8,-7.3,54.07,0,0,,0,0,17.6,8.5,265,1032.3,0,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-02T03:00:00,0.8,-2.5,-7.1,55.38,0,0,,0,0,15.5,10.7,285,1032.4,0,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-02T04:00:00,0.8,-2,-7.1,55.38,0,0,,0,0,11.5,8.5,290,1032.6,0,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-02T05:00:00,0.8,-1.8,-6.8,56.97,0,0,,0,0,12.6,8,280,1033,0,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-02T06:00:00,0.8,0.8,-7,55.96,0,0,,0,0,9.4,3,337,1033.7,7.2,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-02T07:00:00,0.3,0.3,-6.5,60.21,0,0,,0,0,10.8,2,337,1034.4,7.2,16,7,0,0,10,Clear,clear-night,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-02T08:00:00,0.9,0.9,-6.5,57.52,0,0,,0,0,5.8,0,0,1034.5,7.2,16,141,0.5,1,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-02T09:00:00,2.4,2.4,-6.1,53.34,0,0,,0,0,3.2,0,0,1034.6,7.2,16,260,0.9,3,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-02T10:00:00,3.5,1.8,-5.9,50.21,0,0,,0,0,12.2,6.5,251,1034.8,7.2,16,404,1.5,4,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-02T11:00:00,4.8,4.8,-5.6,46.91,0,0,,0,0,9.4,3.9,299,1034.4,7.2,16,461,1.7,5,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-02T12:00:00,5.8,3.4,-6.1,42.16,0,0,,0,0,11.9,11.6,220,1033.5,7.2,16,462,1.7,5,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-02T13:00:00,6,4,-6.6,39.98,0,0,,0,0,17.3,9.5,237,1032.8,7.2,16,417,1.5,4,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-02T14:00:00,6.2,4.1,-6.4,40.13,0,0,,0,0,22.3,9.8,180,1032.3,7.2,16,311,1.1,3,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-02T15:00:00,6.6,4.7,-6.1,40.12,0,0,,0,0,14,9,210,1032.3,13.4,16,162,0.6,2,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-02T16:00:00,5.8,3.4,-6.1,42.33,0,0,,0,0,19.1,11.3,190,1031.9,13.4,16,14,0.1,0,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-02T17:00:00,5,5,-5.2,47.82,0,0,,0,0,18.7,4.4,69,1031.9,13.4,16,7,0,0,10,Clear,clear-night,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-12-02T18:00:00,5,2.3,-2.5,58.59,0,0,,0,0,20.2,11.6,168,1032.2,7.2,16,13,0,0,10,Clear,clear-night,"72505394728,E5816,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-02T19:00:00,5.2,3.1,-3.7,52.76,0,0,,0,0,19.8,9,220,1032.2,13.4,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-12-02T20:00:00,6.2,4,-3.3,50.82,0,0,,0,0,27,10.3,222,1031.6,50,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KLGA,KNYC,72503014732"
